Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id;Label
09/05/2023 13:03;hanna?sby NOW;1,58E+18;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"grgr habis panas2an di bromo kmren muka agak gosong, alhasil ke klinik di laser spya  better. 
dan skrg duarrr muka ku keringgg bgttt ngelupass, mana sore ini ada janjian sama mas ro??";;;15;1,66E+18;NEGATIF
17/05/2023 10:52;ZH;1,42E+18;RingsShuhua;2937182389;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@RingsShuhua Lagi di Bromo Yaa;;;0;1,66E+18;POSITIF
17/05/2023 10:29;firlyningrum;1,50E+18;;-1;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;enaknya ke pantai apa ke bromo yaa ?;;;0;1,66E+18;POSITIF
17/05/2023 10:25;?qi?;1,18E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;besok pagi ke bromo liat sunrise enak kali ya;;;0;1,66E+18;POSITIF
17/05/2023 09:36;Fý;1,37E+18;chupacups00;1,26E+18;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@chupacups00 Surabaya? Yang naik bromo anggrek kemaren bukan ke surabaya ta?;;;0;1,66E+18;POSITIF
17/05/2023 09:18;Zikri & Zafier Game Play;1,60E+18;;-1;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;Info Cuaca Lautan pasir G.Bromo https://t.co/UXFA8ribXN;;;0;1,66E+18;POSITIF
17/05/2023 08:48;mld;1,11E+18;sbyfess;1,15E+18;in;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@sbyfess Ng lumajang, ng b29 loh bromo lagi apik apik e drpd nonton teko penanjakan rame pol. Nde b29 ga rame+view yg di dapat sama malah lebih luas.;;;0;1,66E+18;POSITIF
17/05/2023 08:47;Aden;1,57E+18;_mrar_;2970389913;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@_mrar_ Indah gitu bromo;;;0;1,66E+18;POSITIF
17/05/2023 07:11;SALAM;9,50E+17;;-1;in;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;"Pagi ini gak dapat bis
dan  nebeng temen yg bawa motor
lupa gak bawa jaket lagi
30 km dan 30 menit motoran

berasa di Bromo dinginnya";;;0;1,66E+18;NEGATIF
17/05/2023 06:55;Buna Brian;416372873;VirnaIvetta;416372873;in;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;"Alhamdulillah tahun ini bisa ke makam Bung Karno walaupun pake mobil bukan pake motor ..
Tinggal ke Bromo yg belum nih ? https://t.co/0gkFo1wNWG";;;0;1,66E+18;POSITIF
